Name,Runs,Balls,Minutes Played,Fours,Sixes,Strike Rate
Yusuf Pathan ,11,10,12,1,1,110.00
Gautam Gambhir ,28,28,57,3,0,100.00
Virat Kohli ,12,20,16,2,0,60.00
Yuvraj Singh ,51,73,93,7,0,69.86
MS Dhoni (c)†,19,40,56,2,0,47.50
Upul Tharanga ,133,141,182,17,0,94.32
Tillakaratne Dilshan ,144,131,186,16,1,109.92
Thisara Perera ,3,5,5,0,0,60.00
Mahela Jayawardene ,9,7,7,1,0,128.57
Kumar Sangakkara (c)†,11,7,7,1,0,157.14
Angelo Mathews ,0,1,1,0,0,0.00
Chamara Silva ,4,2,2,1,0,200.00
Thilan Samaraweera ,8,7,7,1,0,114.28
Brendan Taylor ,80,72,101,9,1,111.11
Regis Chakabva ,35,61,83,3,0,57.37
Tatenda Taibu †,4,6,8,0,0,66.66
Prosper Utseya ,4,11,21,0,0,36.36
Craig Ervine ,17,21,23,2,0,80.95
Elton Chigumbura (c),6,11,21,0,0,54.54
Greg Lamb ,0,1,1,0,0,0.00
Graeme Cremer ,14,27,42,1,0,51.85
Ray Price ,11,15,22,2,0,73.33
Tinashe Panyangara ,0,4,2,0,0,0.00
Chris Mpofu ,1,5,4,0,0,20.00
Devon Smith ,107,133,194,11,1,80.45
Shivnarine Chanderpaul ,35,62,102,3,0,56.45
Darren Bravo ,0,3,2,0,0,0.00
Ramnaresh Sarwan ,10,19,29,1,0,52.63
Kieron Pollard ,94,55,83,8,5,170.90
Daren Sammy (c),4,3,1,1,0,133.33
Devon Thomas †,2,8,8,0,0,25.00
Andre Russell ,3,7,15,0,0,42.85
Nikita Miller ,5,6,9,0,0,83.33
Sulieman Benn ,2,2,4,0,0,100.00
Kemar Roach ,1,2,1,0,0,50.00
William Porterfield (c),11,34,52,2,0,32.35
Paul Stirling ,5,6,7,1,0,83.33
Ed Joyce ,84,106,150,9,0,79.24
Niall O'Brien †,25,31,38,2,0,80.64
Gary Wilson ,61,62,90,6,1,98.38
Kevin O'Brien ,5,9,10,0,0,55.55
Alex Cusack ,2,5,15,0,0,40.00
John Mooney ,6,7,18,1,0,85.71
Andre Botha ,0,7,3,0,0,0.00
George Dockrell ,19,19,22,3,0,100.00
Boyd Rankin ,5,9,11,0,0,55.55
Andrew Strauss (c),18,31,48,2,0,58.06
Matt Prior †,15,20,35,2,0,75.00
Jonathan Trott ,67,99,138,2,0,67.67
Ian Bell ,5,23,19,0,0,21.73
Eoin Morgan ,63,72,84,8,0,87.50
Ravi Bopara ,16,22,22,1,0,72.72
Graeme Swann ,12,8,12,2,0,150.00
Paul Collingwood ,14,13,29,0,0,107.69
Tim Bresnan ,2,2,2,0,0,100.00
